count;id_distrito;nome_distrito;id_municipio;nome_municipio;id_microrregiao;nome_microrregiao;id_mesoregiao;nome_mesorregiao;id_uf;nome_uf;sigla_uf;id_macrorregiao;nome_macrorregiao;sigla_macrorregiao
1;520005005;Abadia de Goiás;5200050;Abadia de Goiás;52010;Goiânia;5203;Centro Goiano;52;Goiás;GO;5;Centro-Oeste;CO
2;310010405;Abadia dos Dourados;3100104;Abadia dos Dourados;31019;Patrocínio;3105;Triângulo Mineiro/Alto Paranaíba;31;Minas Gerais;MG;3;Sudeste;SE
3;520010005;Abadiânia;5200100;Abadiânia;52012;Entorno de Brasília;5204;Leste Goiano;52;Goiás;GO;5;Centro-Oeste;CO
4;520010010;Posse d'Abadia;5200100;Abadiânia;52012;Entorno de Brasília;5204;Leste Goiano;52;Goiás;GO;5;Centro-Oeste;CO
5;310020305;Abaeté;3100203;Abaeté;31024;Três Marias;3106;Central Mineira;31;Minas Gerais;MG;3;Sudeste;SE
6;150010705;Abaetetuba;1500107;Abaetetuba;15011;Cametá;1504;Nordeste Paraense;15;Pará;PA;1;Norte;N
7;150010710;Beja;1500107;Abaetetuba;15011;Cametá;1504;Nordeste Paraense;15;Pará;PA;1;Norte;N
8;230010105;Abaiara;2300101;Abaiara;23033;Brejo Santo;2307;Sul Cearense;23;Ceará;CE;2;Nordeste;NE
9;230010120;São José;2300101;Abaiara;23033;Brejo Santo;2307;Sul Cearense;23;Ceará;CE;2;Nordeste;NE
10;290010805;Abaíra;2900108;Abaíra;29023;Seabra;2906;Centro Sul Baiano;29;Bahia;BA;2;Nordeste;NE
11;290010810;Catolés;2900108;Abaíra;29023;Seabra;2906;Centro Sul Baiano;29;Bahia;BA;2;Nordeste;NE
12;290020705;Abaré;2900207;Abaré;29005;Paulo Afonso;2902;Vale São-Franciscano da Bahia;29;Bahia;BA;2;Nordeste;NE
13;290020710;Ibó;2900207;Abaré;29005;Paulo Afonso;2902;Vale São-Franciscano da Bahia;29;Bahia;BA;2;Nordeste;NE
14;410010305;Abatiá;4100103;Abatiá;41015;Cornélio Procópio;4104;Norte Pioneiro Paranaense;41;Paraná;PR;4;Sul;S
15;420005105;Abdon Batista;4200051;Abdon Batista;42009;Curitibanos;4203;Serrana;42;Santa Catarina;SC;4;Sul;S
16;150013105;Abel Figueiredo;1500131;Abel Figueiredo;15017;Paragominas;1506;Sudeste Paraense;15;Pará;PA;1;Norte;N
17;420010105;Abelardo Luz;4200101;Abelardo Luz;42003;Xanxerê;4201;Oeste Catarinense;42;Santa Catarina;SC;4;Sul;S
18;310030205;Abre Campo;3100302;Abre Campo;31061;Manhuaçu;3112;Zona da Mata;31;Minas Gerais;MG;3;Sudeste;SE
19;310030210;Granada;3100302;Abre Campo;31061;Manhuaçu;3112;Zona da Mata;31;Minas Gerais;MG;3;Sudeste;SE
20;260005405;Abreu e Lima;2600054;Abreu e Lima;26017;Recife;2605;Metropolitana de Recife;26;Pernambuco;PE;2;Nordeste;NE
21;260005410;Distrito Industrial;2600054;Abreu e Lima;26017;Recife;2605;Metropolitana de Recife;26;Pernambuco;PE;2;Nordeste;NE
22;170025105;Abreulândia;1700251;Abreulândia;17003;Miracema do Tocantins;1701;Ocidental do Tocantins;17;Tocantins;TO;1;Norte;N
23;310040105;Acaiaca;3100401;Acaiaca;31060;Ponte Nova;3112;Zona da Mata;31;Minas Gerais;MG;3;Sudeste;SE
24;210005505;Açailândia;2100055;Açailândia;21009;Imperatriz;2102;Oeste Maranhense;21;Maranhão;MA;2;Nordeste;NE
25;290030605;Acajutiba;2900306;Acajutiba;29017;Alagoinhas;2904;Nordeste Baiano;29;Bahia;BA;2;Nordeste;NE
26;150020605;Acará;1500206;Acará;15012;Tomé-Açu;1504;Nordeste Paraense;15;Pará;PA;1;Norte;N
27;150020610;Guajará-Miri;1500206;Acará;15012;Tomé-Açu;1504;Nordeste Paraense;15;Pará;PA;1;Norte;N
28;150020615;Jaguarari;1500206;Acará;15012;Tomé-Açu;1504;Nordeste Paraense;15;Pará;PA;1;Norte;N
29;230015005;Acarape;2300150;Acarape;23013;Baturité;2302;Norte Cearense;23;Ceará;CE;2;Nordeste;NE
30;230020005;Acaraú;2300200;Acaraú;23001;Litoral de Camocim e Acaraú;2301;Noroeste Cearense;23;Ceará;CE;2;Nordeste;NE
31;230020010;Aranaú;2300200;Acaraú;23001;Litoral de Camocim e Acaraú;2301;Noroeste Cearense;23;Ceará;CE;2;Nordeste;NE
32;230020030;Juritianha;2300200;Acaraú;23001;Litoral de Camocim e Acaraú;2301;Noroeste Cearense;23;Ceará;CE;2;Nordeste;NE
33;230020040;Lagoa do Carneiro;2300200;Acaraú;23001;Litoral de Camocim e Acaraú;2301;Noroeste Cearense;23;Ceará;CE;2;Nordeste;NE
34;240010905;Acari;2400109;Acari;24012;Seridó Oriental;2402;Central Potiguar;24;Rio Grande do Norte;RN;2;Nordeste;NE
35;220005305;Acauã;2200053;Acauã;22015;Alto Médio Canindé;2204;Sudeste Piauiense;22;Piauí;PI;2;Nordeste;NE
36;430003405;Aceguá;4300034;Aceguá;43031;Campanha Meridional;4306;Sudoeste Rio-grandense;43;Rio Grande do Sul;RS;4;Sul;S
37;430003415;Colônia Nova;4300034;Aceguá;43031;Campanha Meridional;4306;Sudoeste Rio-grandense;43;Rio Grande do Sul;RS;4;Sul;S
38;430003425;Minuano;4300034;Aceguá;43031;Campanha Meridional;4306;Sudoeste Rio-grandense;43;Rio Grande do Sul;RS;4;Sul;S
39;430003435;Rio Negro;4300034;Aceguá;43031;Campanha Meridional;4306;Sudoeste Rio-grandense;43;Rio Grande do Sul;RS;4;Sul;S
40;230030905;Acopiara;2300309;Acopiara;23021;Sertão de Senador Pompeu;2304;Sertões Cearenses;23;Ceará;CE;2;Nordeste;NE
41;230030907;Barra do Ingá;2300309;Acopiara;23021;Sertão de Senador Pompeu;2304;Sertões Cearenses;23;Ceará;CE;2;Nordeste;NE
42;230030910;Ebron;2300309;Acopiara;23021;Sertão de Senador Pompeu;2304;Sertões Cearenses;23;Ceará;CE;2;Nordeste;NE
43;230030915;Isidoro;2300309;Acopiara;23021;Sertão de Senador Pompeu;2304;Sertões Cearenses;23;Ceará;CE;2;Nordeste;NE
44;230030920;Quincoê;2300309;Acopiara;23021;Sertão de Senador Pompeu;2304;Sertões Cearenses;23;Ceará;CE;2;Nordeste;NE
45;230030925;Santa Felícia;2300309;Acopiara;23021;Sertão de Senador Pompeu;2304;Sertões Cearenses;23;Ceará;CE;2;Nordeste;NE
46;230030930;Santo Antônio;2300309;Acopiara;23021;Sertão de Senador Pompeu;2304;Sertões Cearenses;23;Ceará;CE;2;Nordeste;NE
47;230030931;São Paulinho;2300309;Acopiara;23021;Sertão de Senador Pompeu;2304;Sertões Cearenses;23;Ceará;CE;2;Nordeste;NE
48;230030933;Solidão;2300309;Acopiara;23021;Sertão de Senador Pompeu;2304;Sertões Cearenses;23;Ceará;CE;2;Nordeste;NE
49;230030935;Trussu;2300309;Acopiara;23021;Sertão de Senador Pompeu;2304;Sertões Cearenses;23;Ceará;CE;2;Nordeste;NE
50;510010205;Acorizal;5100102;Acorizal;51016;Rosário Oeste;5104;Centro-Sul Mato-grossense;51;Mato Grosso;MT;5;Centro-Oeste;CO
51;510010207;Baús;5100102;Acorizal;51016;Rosário Oeste;5104;Centro-Sul Mato-grossense;51;Mato Grosso;MT;5;Centro-Oeste;CO
52;510010210;Aldeia;5100102;Acorizal;51016;Rosário Oeste;5104;Centro-Sul Mato-grossense;51;Mato Grosso;MT;5;Centro-Oeste;CO
53;120001305;Acrelândia;1200013;Acrelândia;12004;Rio Branco;1202;Vale do Acre;12;Acre;AC;1;Norte;N
54;520013405;Acreúna;5200134;Acreúna;52014;Vale do Rio dos Bois;5205;Sul Goiano;52;Goiás;GO;5;Centro-Oeste;CO
55;240020805;Açu;2400208;Açu;24004;Vale do Açu;2401;Oeste Potiguar;24;Rio Grande do Norte;RN;2;Nordeste;NE
56;310050005;Açucena;3100500;Açucena;31039;Ipatinga;3108;Vale do Rio Doce;31;Minas Gerais;MG;3;Sudeste;SE
57;310050010;Aramirim;3100500;Açucena;31039;Ipatinga;3108;Vale do Rio Doce;31;Minas Gerais;MG;3;Sudeste;SE
58;310050015;Felicina;3100500;Açucena;31039;Ipatinga;3108;Vale do Rio Doce;31;Minas Gerais;MG;3;Sudeste;SE
59;310050020;Gama;3100500;Açucena;31039;Ipatinga;3108;Vale do Rio Doce;31;Minas Gerais;MG;3;Sudeste;SE
60;310050028;Naque-Nanuque;3100500;Açucena;31039;Ipatinga;3108;Vale do Rio Doce;31;Minas Gerais;MG;3;Sudeste;SE
61;350010505;Adamantina;3500105;Adamantina;35035;Adamantina;3508;Presidente Prudente;35;São Paulo;SP;3;Sudeste;SE
62;520015905;Adelândia;5200159;Adelândia;52009;Anicuns;5203;Centro Goiano;52;Goiás;GO;5;Centro-Oeste;CO
63;350020405;Adolfo;3500204;Adolfo;35004;São José do Rio Preto;3501;São José do Rio Preto;35;São Paulo;SP;3;Sudeste;SE
