count;id_microrregiao;nome_microrregiao;id_mesoregiao;nome_mesorregiao;id_uf;nome_uf;sigla_uf;id_macrorregiao;nome_macrorregiao;sigla_macrorregiao
1;11001;Porto Velho;1101;Madeira-Guaporé;11;Rondônia;RO;1;Norte;N
2;11002;Guajará-Mirim;1101;Madeira-Guaporé;11;Rondônia;RO;1;Norte;N
3;11003;Ariquemes;1102;Leste Rondoniense;11;Rondônia;RO;1;Norte;N
4;11004;Ji-Paraná;1102;Leste Rondoniense;11;Rondônia;RO;1;Norte;N
5;11005;Alvorada D'Oeste;1102;Leste Rondoniense;11;Rondônia;RO;1;Norte;N
6;11006;Cacoal;1102;Leste Rondoniense;11;Rondônia;RO;1;Norte;N
7;11007;Vilhena;1102;Leste Rondoniense;11;Rondônia;RO;1;Norte;N
8;11008;Colorado do Oeste;1102;Leste Rondoniense;11;Rondônia;RO;1;Norte;N
9;12001;Cruzeiro do Sul;1201;Vale do Juruá;12;Acre;AC;1;Norte;N
10;12002;Tarauacá;1201;Vale do Juruá;12;Acre;AC;1;Norte;N
11;12003;Sena Madureira;1202;Vale do Acre;12;Acre;AC;1;Norte;N
12;12004;Rio Branco;1202;Vale do Acre;12;Acre;AC;1;Norte;N
13;12005;Brasiléia;1202;Vale do Acre;12;Acre;AC;1;Norte;N
14;13001;Rio Negro;1301;Norte Amazonense;13;Amazonas;AM;1;Norte;N
15;13002;Japurá;1301;Norte Amazonense;13;Amazonas;AM;1;Norte;N
16;13003;Alto Solimões;1302;Sudoeste Amazonense;13;Amazonas;AM;1;Norte;N
17;13004;Juruá;1302;Sudoeste Amazonense;13;Amazonas;AM;1;Norte;N
18;13005;Tefé;1303;Centro Amazonense;13;Amazonas;AM;1;Norte;N
19;13006;Coari;1303;Centro Amazonense;13;Amazonas;AM;1;Norte;N
20;13007;Manaus;1303;Centro Amazonense;13;Amazonas;AM;1;Norte;N
21;13008;Rio Preto da Eva;1303;Centro Amazonense;13;Amazonas;AM;1;Norte;N
22;13009;Itacoatiara;1303;Centro Amazonense;13;Amazonas;AM;1;Norte;N
23;13010;Parintins;1303;Centro Amazonense;13;Amazonas;AM;1;Norte;N
24;13011;Boca do Acre;1304;Sul Amazonense;13;Amazonas;AM;1;Norte;N
25;13012;Purus;1304;Sul Amazonense;13;Amazonas;AM;1;Norte;N
26;13013;Madeira;1304;Sul Amazonense;13;Amazonas;AM;1;Norte;N
27;14001;Boa Vista;1401;Norte de Roraima;14;Roraima;RR;1;Norte;N
28;14002;Nordeste de Roraima;1401;Norte de Roraima;14;Roraima;RR;1;Norte;N
29;14003;Caracaraí;1402;Sul de Roraima;14;Roraima;RR;1;Norte;N
30;14004;Sudeste de Roraima;1402;Sul de Roraima;14;Roraima;RR;1;Norte;N
31;15001;Óbidos;1501;Baixo Amazonas;15;Pará;PA;1;Norte;N
32;15002;Santarém;1501;Baixo Amazonas;15;Pará;PA;1;Norte;N
33;15003;Almeirim;1501;Baixo Amazonas;15;Pará;PA;1;Norte;N
34;15004;Portel;1502;Marajó;15;Pará;PA;1;Norte;N
35;15005;Furos de Breves;1502;Marajó;15;Pará;PA;1;Norte;N
36;15006;Arari;1502;Marajó;15;Pará;PA;1;Norte;N
37;15007;Belém;1503;Metropolitana de Belém;15;Pará;PA;1;Norte;N
38;15008;Castanhal;1503;Metropolitana de Belém;15;Pará;PA;1;Norte;N
39;15009;Salgado;1504;Nordeste Paraense;15;Pará;PA;1;Norte;N
40;15010;Bragantina;1504;Nordeste Paraense;15;Pará;PA;1;Norte;N
41;15011;Cametá;1504;Nordeste Paraense;15;Pará;PA;1;Norte;N
42;15012;Tomé-Açu;1504;Nordeste Paraense;15;Pará;PA;1;Norte;N
43;15013;Guamá;1504;Nordeste Paraense;15;Pará;PA;1;Norte;N
44;15014;Itaituba;1505;Sudoeste Paraense;15;Pará;PA;1;Norte;N
45;15015;Altamira;1505;Sudoeste Paraense;15;Pará;PA;1;Norte;N
46;15016;Tucuruí;1506;Sudeste Paraense;15;Pará;PA;1;Norte;N
47;15017;Paragominas;1506;Sudeste Paraense;15;Pará;PA;1;Norte;N
48;15018;São Félix do Xingu;1506;Sudeste Paraense;15;Pará;PA;1;Norte;N
49;15019;Parauapebas;1506;Sudeste Paraense;15;Pará;PA;1;Norte;N
