count;id_municipio;nome_municipio;id_microrregiao;nome_microrregiao;id_mesoregiao;nome_mesorregiao;id_uf;nome_uf;sigla_uf;id_macrorregiao;nome_macrorregiao;sigla_macrorregiao
1;1100015;Alta Floresta D'Oeste;11006;Cacoal;1102;Leste Rondoniense;11;Rondônia;RO;1;Norte;N
2;1100023;Ariquemes;11003;Ariquemes;1102;Leste Rondoniense;11;Rondônia;RO;1;Norte;N
3;1100031;Cabixi;11008;Colorado do Oeste;1102;Leste Rondoniense;11;Rondônia;RO;1;Norte;N
4;1100049;Cacoal;11006;Cacoal;1102;Leste Rondoniense;11;Rondônia;RO;1;Norte;N
5;1100056;Cerejeiras;11008;Colorado do Oeste;1102;Leste Rondoniense;11;Rondônia;RO;1;Norte;N
6;1100064;Colorado do Oeste;11008;Colorado do Oeste;1102;Leste Rondoniense;11;Rondônia;RO;1;Norte;N
7;1100072;Corumbiara;11008;Colorado do Oeste;1102;Leste Rondoniense;11;Rondônia;RO;1;Norte;N
8;1100080;Costa Marques;11002;Guajará-Mirim;1101;Madeira-Guaporé;11;Rondônia;RO;1;Norte;N
9;1100098;Espigão D'Oeste;11006;Cacoal;1102;Leste Rondoniense;11;Rondônia;RO;1;Norte;N
10;1100106;Guajará-Mirim;11002;Guajará-Mirim;1101;Madeira-Guaporé;11;Rondônia;RO;1;Norte;N
11;1100114;Jaru;11004;Ji-Paraná;1102;Leste Rondoniense;11;Rondônia;RO;1;Norte;N
12;1100122;Ji-Paraná;11004;Ji-Paraná;1102;Leste Rondoniense;11;Rondônia;RO;1;Norte;N
13;1100130;Machadinho D'Oeste;11003;Ariquemes;1102;Leste Rondoniense;11;Rondônia;RO;1;Norte;N
14;1100148;Nova Brasilândia D'Oeste;11005;Alvorada D'Oeste;1102;Leste Rondoniense;11;Rondônia;RO;1;Norte;N
15;1100155;Ouro Preto do Oeste;11004;Ji-Paraná;1102;Leste Rondoniense;11;Rondônia;RO;1;Norte;N
16;1100189;Pimenta Bueno;11007;Vilhena;1102;Leste Rondoniense;11;Rondônia;RO;1;Norte;N
17;1100205;Porto Velho;11001;Porto Velho;1101;Madeira-Guaporé;11;Rondônia;RO;1;Norte;N
18;1100254;Presidente Médici;11004;Ji-Paraná;1102;Leste Rondoniense;11;Rondônia;RO;1;Norte;N
19;1100262;Rio Crespo;11003;Ariquemes;1102;Leste Rondoniense;11;Rondônia;RO;1;Norte;N
20;1100288;Rolim de Moura;11006;Cacoal;1102;Leste Rondoniense;11;Rondônia;RO;1;Norte;N
21;1100296;Santa Luzia D'Oeste;11006;Cacoal;1102;Leste Rondoniense;11;Rondônia;RO;1;Norte;N
22;1100304;Vilhena;11007;Vilhena;1102;Leste Rondoniense;11;Rondônia;RO;1;Norte;N
23;1100320;São Miguel do Guaporé;11005;Alvorada D'Oeste;1102;Leste Rondoniense;11;Rondônia;RO;1;Norte;N
24;1100338;Nova Mamoré;11001;Porto Velho;1101;Madeira-Guaporé;11;Rondônia;RO;1;Norte;N
25;1100346;Alvorada D'Oeste;11005;Alvorada D'Oeste;1102;Leste Rondoniense;11;Rondônia;RO;1;Norte;N
26;1100379;Alto Alegre dos Parecis;11006;Cacoal;1102;Leste Rondoniense;11;Rondônia;RO;1;Norte;N
27;1100403;Alto Paraíso;11003;Ariquemes;1102;Leste Rondoniense;11;Rondônia;RO;1;Norte;N
28;1100452;Buritis;11001;Porto Velho;1101;Madeira-Guaporé;11;Rondônia;RO;1;Norte;N
29;1100502;Novo Horizonte do Oeste;11006;Cacoal;1102;Leste Rondoniense;11;Rondônia;RO;1;Norte;N
30;1100601;Cacaulândia;11003;Ariquemes;1102;Leste Rondoniense;11;Rondônia;RO;1;Norte;N
